"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1752","Check the availability of advertising blocks for Lost Ark game","advertisement-tests","Wed Oct 29 12:41:53 UTC 2025","passed","Wed Oct 29 12:41:55 UTC 2025","","advertisement.test.js","",""
"","5922","Create a guide page on TFT project","ngf-tests","Wed Oct 29 12:48:12 UTC 2025","passed","Wed Oct 29 12:48:18 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","4181","Admin role has access to SEO modal on the structure pages","ngf-tests","Wed Oct 29 12:53:05 UTC 2025","passed","Wed Oct 29 12:53:10 UTC 2025","Admin permission","ngf.test.js","",""
"","5091","Create a guide page on Borderlands 4 project","ngf-tests","Wed Oct 29 12:48:45 UTC 2025","passed","Wed Oct 29 12:48:50 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","5255","Create a guide page on LoL project","ngf-tests","Wed Oct 29 12:48:18 UTC 2025","passed","Wed Oct 29 12:48:23 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","47445","Check x-moba-ssr-cache header & new content are present on MHW build page","others-tests","Wed Oct 29 12:54:16 UTC 2025","passed","Wed Oct 29 12:55:03 UTC 2025","","others.test.js","",""
"","237","Checking sitemap for Monster Hunter Wilds game on https://stg.mobalytics.gg/sitemap.xml","sitemap-tests","Wed Oct 29 12:42:29 UTC 2025","passed","Wed Oct 29 12:42:29 UTC 2025","","sitemap.test.js","",""
"","254","Checking sitemap for Elden Ring game on https://stg.mobalytics.gg/sitemap.xml","sitemap-tests","Wed Oct 29 12:42:29 UTC 2025","passed","Wed Oct 29 12:42:29 UTC 2025","","sitemap.test.js","",""
"","254","Checking sitemap for PoE game on https://stg.mobalytics.gg/sitemap.xml","sitemap-tests","Wed Oct 29 12:42:31 UTC 2025","passed","Wed Oct 29 12:42:31 UTC 2025","","sitemap.test.js","",""
"","11819","Admin role can duplicate the structure page","ngf-tests","Wed Oct 29 12:50:46 UTC 2025","passed","Wed Oct 29 12:50:58 UTC 2025","Admin permission","ngf.test.js","",""
"","5390","Create a guide page on Nightreign project","ngf-tests","Wed Oct 29 12:47:55 UTC 2025","passed","Wed Oct 29 12:48:01 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","8208","Create a structure page on Borderlands 4 project","ngf-tests","Wed Oct 29 12:44:43 UTC 2025","passed","Wed Oct 29 12:44:51 UTC 2025","Creating ST Pages","ngf.test.js","",""
"","5199","Create a tier list page on Borderlands 4 project","ngf-tests","Wed Oct 29 12:50:26 UTC 2025","passed","Wed Oct 29 12:50:32 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","8486","Delete mobalytics account","account-tests","Wed Oct 29 12:41:36 UTC 2025","passed","Wed Oct 29 12:41:45 UTC 2025","","account.test.js","",""
"","3111","Check the availability of advertising blocks for Monster Hunter Wilds game","advertisement-tests","Wed Oct 29 12:42:06 UTC 2025","passed","Wed Oct 29 12:42:09 UTC 2025","","advertisement.test.js","",""
"","300","Checking sitemap for ZZZ game on https://stg.mobalytics.gg/sitemap.xml","sitemap-tests","Wed Oct 29 12:42:26 UTC 2025","passed","Wed Oct 29 12:42:26 UTC 2025","","sitemap.test.js","",""
"","259","Checking sitemap for Product Sitemap game on https://stg.mobalytics.gg/sitemap.xml","sitemap-tests","Wed Oct 29 12:42:27 UTC 2025","passed","Wed Oct 29 12:42:27 UTC 2025","","sitemap.test.js","",""
"","5567","Create a tier list page on Marvel Rivals project","ngf-tests","Wed Oct 29 12:50:15 UTC 2025","passed","Wed Oct 29 12:50:21 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","265","Checking sitemap for Marvel Rivals game on https://stg.mobalytics.gg/sitemap.xml","sitemap-tests","Wed Oct 29 12:42:29 UTC 2025","passed","Wed Oct 29 12:42:29 UTC 2025","","sitemap.test.js","",""
"","5606","Create a guide page on MHW project","ngf-tests","Wed Oct 29 12:48:50 UTC 2025","passed","Wed Oct 29 12:48:56 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","2208","Check the availability of advertising blocks for Diablo 4 game","advertisement-tests","Wed Oct 29 12:41:57 UTC 2025","passed","Wed Oct 29 12:41:59 UTC 2025","","advertisement.test.js","",""
"","5556","Create a tier list page on Nightreign project","ngf-tests","Wed Oct 29 12:49:59 UTC 2025","passed","Wed Oct 29 12:50:04 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","259","Checking sitemap for Destiny 2 game on https://stg.mobalytics.gg/sitemap.xml","sitemap-tests","Wed Oct 29 12:42:28 UTC 2025","passed","Wed Oct 29 12:42:28 UTC 2025","","sitemap.test.js","",""
"","2985","Check the availability of advertising blocks for Deadlock game","advertisement-tests","Wed Oct 29 12:42:16 UTC 2025","passed","Wed Oct 29 12:42:19 UTC 2025","","advertisement.test.js","",""
"","9893","Admin role is allowed to publish structure pages","ngf-tests","Wed Oct 29 12:52:55 UTC 2025","passed","Wed Oct 29 12:53:05 UTC 2025","Admin permission","ngf.test.js","",""
"","6990","Create a build page on PoE project","ngf-tests","Wed Oct 29 12:47:20 UTC 2025","passed","Wed Oct 29 12:47:27 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","2722","Check the availability of advertising blocks for Path of Exile 2 game","advertisement-tests","Wed Oct 29 12:42:19 UTC 2025","passed","Wed Oct 29 12:42:21 UTC 2025","","advertisement.test.js","",""
"","1348","Check the availability of advertising blocks for LoL game","advertisement-tests","Wed Oct 29 12:42:24 UTC 2025","passed","Wed Oct 29 12:42:25 UTC 2025","","advertisement.test.js","",""
"","3314","St Widget contains ""Edit"" button, ""Delete"" button & ""Create Page"" button is present on ST Admin page for Admin role","ngf-tests","Wed Oct 29 12:50:39 UTC 2025","passed","Wed Oct 29 12:50:43 UTC 2025","Admin permission","ngf.test.js","",""
"","1268","Check API Internal Writer permission","ngf-tests","Wed Oct 29 12:53:33 UTC 2025","passed","Wed Oct 29 12:53:35 UTC 2025","Internal Writer permission","ngf.test.js","",""
"","257","Checking sitemap for Hades 2 game on https://stg.mobalytics.gg/sitemap.xml","sitemap-tests","Wed Oct 29 12:42:29 UTC 2025","passed","Wed Oct 29 12:42:30 UTC 2025","","sitemap.test.js","",""
"","8889","Create a structure page on MHW project","ngf-tests","Wed Oct 29 12:43:59 UTC 2025","passed","Wed Oct 29 12:44:08 UTC 2025","Creating ST Pages","ngf.test.js","",""
"","6210","Create a build page on TFT project","ngf-tests","Wed Oct 29 12:45:03 UTC 2025","passed","Wed Oct 29 12:45:10 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","9473","Admin role can upload a video to CDN on the structure pages","ngf-tests","Wed Oct 29 12:53:10 UTC 2025","passed","Wed Oct 29 12:53:19 UTC 2025","Admin permission","ngf.test.js","",""
"","5158","Create a guide page on PoE 2 project","ngf-tests","Wed Oct 29 12:48:23 UTC 2025","passed","Wed Oct 29 12:48:28 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","234","Checking sitemap for Deadlock game on https://stg.mobalytics.gg/sitemap.xml","sitemap-tests","Wed Oct 29 12:42:30 UTC 2025","passed","Wed Oct 29 12:42:30 UTC 2025","","sitemap.test.js","",""
"","5671","Create a tier list page on Destiny 2 project","ngf-tests","Wed Oct 29 12:49:36 UTC 2025","passed","Wed Oct 29 12:49:42 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","1269","Check API admin permission","ngf-tests","Wed Oct 29 12:53:27 UTC 2025","passed","Wed Oct 29 12:53:28 UTC 2025","Admin permission","ngf.test.js","",""
"","6361","Create a build page on MHW project","ngf-tests","Wed Oct 29 12:45:32 UTC 2025","passed","Wed Oct 29 12:45:38 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","5793","Create a tier list page on PoE 2 project","ngf-tests","Wed Oct 29 12:49:47 UTC 2025","passed","Wed Oct 29 12:49:53 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","5393","Create a guide page on Marvel Rivals project","ngf-tests","Wed Oct 29 12:49:01 UTC 2025","passed","Wed Oct 29 12:49:06 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","5267","Create a guide page on Destiny 2 project","ngf-tests","Wed Oct 29 12:48:01 UTC 2025","passed","Wed Oct 29 12:48:06 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","6322","Create a guide page on ZZZ project","ngf-tests","Wed Oct 29 12:49:06 UTC 2025","passed","Wed Oct 29 12:49:12 UTC 2025","Creating UG Pages","ngf.test.js","",""
"","7857","Admin role can upload an image to CDN on the ug page","ngf-tests","Wed Oct 29 12:53:19 UTC 2025","passed","Wed Oct 29 12:53:27 UTC 2025","Admin permission","ngf.test.js","",""
"","1889","Internal Writer role has NO access to the control panel","ngf-tests","Wed Oct 29 12:53:32 UTC 2025","passed","Wed Oct 29 12:53:33 UTC 2025","Internal Writer permission","ngf.test.js","",""
"","9316","Create a structure page on LoL project","ngf-tests","Wed Oct 29 12:42:49 UTC 2025","passed","Wed Oct 29 12:42:58 UTC 2025","Creating ST Pages","ngf.test.js","",""
"","237","Checking sitemap for Champions game on https://stg.mobalytics.gg/sitemap.xml","sitemap-tests","Wed Oct 29 12:42:27 UTC 2025","passed","Wed Oct 29 12:42:27 UTC 2025","","sitemap.test.js","",""
"","3464","Check the availability of advertising blocks for Borderlands 4 game","advertisement-tests","Wed Oct 29 12:42:12 UTC 2025","passed","Wed Oct 29 12:42:16 UTC 2025","","advertisement.test.js","",""
"","6824","Game Manager can upload a video to CDN on the structure pages","ngf-tests","Wed Oct 29 12:53:58 UTC 2025","passed","Wed Oct 29 12:54:04 UTC 2025","Game Manager permission","ngf.test.js","",""
