"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60552","Check video block, footer banner, L vertical banner, S vertical banner for regular user - Endfield in desktop at 1680x1050 viewport size","advertisement-tests","2026-08-07","failed","2026-08-07","Verify ad blocks for regular user","advertisement/ad-regular-user.test.js","",""
"","2580","Check video block, footer banner, L vertical banner, S vertical banner for plus user - TFT in desktop at 1680x1050 viewport size","advertisement-tests","2026-08-07","passed","2026-08-07","Verify ad blocks for plus user","advertisement/ad-plus-user.test.js","",""
"","30560","Check video block & footer banner for regular user - Destiny 2 in desktop at 1100x800 viewport size","advertisement-tests","2026-08-07","failed","2026-08-07","Verify ad blocks for regular user","advertisement/ad-regular-user.test.js","",""
"","7440","Check video block, footer banner, L vertical banner for plus user - Genshin in desktop at 1280x800 viewport size","advertisement-tests","2026-08-07","passed","2026-08-07","Verify ad blocks for plus user","advertisement/ad-plus-user.test.js","",""
"","374","Check advertisement blocks for plus user - Nightreign in desktop at 640x1024 viewport size","advertisement-tests","2026-08-07","passed","2026-08-07","Verify ad blocks for plus user","advertisement/ad-plus-user.test.js","",""
"","603","Check ad blocks for plus user - Riftbound in mobile at 360x780 viewport size","advertisement-tests","2026-08-07","passed","2026-08-07","Verify ad blocks for plus user","advertisement/ad-plus-user.test.js","",""
"","882","Check video block, footer banner, L vertical banner, S vertical banner for ad free user - Monster Hunter Wilds in desktop at 1680x1050 viewport size","advertisement-tests","2026-08-07","passed","2026-08-07","Verify ad blocks for ad-free user","advertisement/ad-adFree-user.test.js","",""
"","392","Check ad blocks for regular user - NTE in mobile at 360x780 viewport size","advertisement-tests","2026-08-07","passed","2026-08-07","Verify ad blocks for regular user","advertisement/ad-regular-user.test.js","",""
"","9156","Check video block, footer banner, L vertical banner for plus user - Overwatch in desktop at 1280x800 viewport size","advertisement-tests","2026-08-07","passed","2026-08-07","Verify ad blocks for plus user","advertisement/ad-plus-user.test.js","",""
"","30684","Check video block & footer banner for regular user - Nightreign in desktop at 1100x800 viewport size","advertisement-tests","2026-08-07","failed","2026-08-07","Verify ad blocks for regular user","advertisement/ad-regular-user.test.js","",""
"","663","Check ad blocks for plus user - PoE 2 in mobile at 360x780 viewport size","advertisement-tests","2026-08-07","passed","2026-08-07","Verify ad blocks for plus user","advertisement/ad-plus-user.test.js","",""
"","566","Check advertisement blocks for plus user - Borderlands 4 in desktop at 640x1024 viewport size","advertisement-tests","2026-08-07","passed","2026-08-07","Verify ad blocks for plus user","advertisement/ad-plus-user.test.js","",""
"","12211","Check video block, footer banner, L vertical banner for plus user - Destiny 2 in desktop at 1280x800 viewport size","advertisement-tests","2026-08-07","passed","2026-08-07","Verify ad blocks for plus user","advertisement/ad-plus-user.test.js","",""
"","673","Check advertisement blocks for plus user - Riftbound in desktop at 640x1024 viewport size","advertisement-tests","2026-08-07","passed","2026-08-07","Verify ad blocks for plus user","advertisement/ad-plus-user.test.js","",""
"","30473","Check advertisement blocks for unauthorized user - Destiny 2 in desktop at 640x1024 viewport size","advertisement-tests","2026-08-07","failed","2026-08-07","Verify ad blocks for guest user","advertisement/ad-unauthorized-user.test.js","",""
"","1265","Check video block, footer banner, L vertical banner, S vertical banner for ad free user - Marathon in desktop at 1680x1050 viewport size","advertisement-tests","2026-08-07","passed","2026-08-07","Verify ad blocks for ad-free user","advertisement/ad-adFree-user.test.js","",""
