"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5886","Create a tier-list page on The Bazaar project","ngf-tests","2026-06-04","passed","2026-06-04","Creating UG Pages","ngf.test.js","",""
"","1081","Check API admin permission","ngf-tests","2026-06-04","passed","2026-06-04","Admin permission","ngf.test.js","",""
"","3458","St Widget contains ""Edit"" button, ""Delete"" button & ""Create Page"" button is present on ST Admin page for Admin role","ngf-tests","2026-06-04","passed","2026-06-04","Admin permission","ngf.test.js","",""
"","6055","Create a guide page on Riftbound project","ngf-tests","2026-06-04","passed","2026-06-04","Creating UG Pages","ngf.test.js","",""
"","6411","Create a guide page on Marathon project","ngf-tests","2026-06-04","passed","2026-06-04","Creating UG Pages","ngf.test.js","",""
"","6955","Create a guide page on PoE 2 project","ngf-tests","2026-06-04","passed","2026-06-04","Creating UG Pages","ngf.test.js","",""
"","14960","Admin role can duplicate the structure page","ngf-tests","2026-06-04","passed","2026-06-04","Admin permission","ngf.test.js","",""
"","5438","Check error state for empty ""CardGrid"" widget","ngf-tests","2026-06-04","passed","2026-06-04","","ngf.test.js","",""
"","10357","Create a structure page on Bazaar project","ngf-tests","2026-06-04","passed","2026-06-04","Creating ST Pages","ngf.test.js","",""
"","6333","Check static data on NGF PoE 2","ngf-tests","2026-06-04","passed","2026-06-04","","ngf.test.js","",""
"","11065","Create a structure page on Overwatch project","ngf-tests","2026-06-04","passed","2026-06-04","Creating ST Pages","ngf.test.js","",""
"","7264","Create a build page on Val project","ngf-tests","2026-06-04","passed","2026-06-04","Creating UG Pages","ngf.test.js","",""
"","5814","Create a guide page on Marvel Rivals project","ngf-tests","2026-06-04","passed","2026-06-04","Creating UG Pages","ngf.test.js","",""
"","5720","Check static data on NGF Borderlands 4","ngf-tests","2026-06-04","passed","2026-06-04","","ngf.test.js","",""
"","1599","Error validation: 404 status code & title on usual page","others-tests","2026-06-04","passed","2026-06-04","","others.test.js","",""
"","8225","Admin role can upload an image to CDN on the ug page","ngf-tests","2026-06-04","passed","2026-06-04","Admin permission","ngf.test.js","",""
"","6792","Create a tier-list page on LoL project","ngf-tests","2026-06-04","passed","2026-06-04","Creating UG Pages","ngf.test.js","",""
"","94659","Change display name","account-tests","2026-06-04","broken","2026-06-04","","account.test.js","",""
"","6146","Create a tier-list page on ZZZ project","ngf-tests","2026-06-04","passed","2026-06-04","Creating UG Pages","ngf.test.js","",""
"","6187","Create a tier-list page on Monster Hunter Wilds project","ngf-tests","2026-06-04","passed","2026-06-04","Creating UG Pages","ngf.test.js","",""
"","9991","Create a structure page on Riftbound project","ngf-tests","2026-06-04","passed","2026-06-04","Creating ST Pages","ngf.test.js","",""
"","6149","Create a guide page on Monster Hunter Wilds project","ngf-tests","2026-06-04","passed","2026-06-04","Creating UG Pages","ngf.test.js","",""
"","6919","Create a guide page on Diablo 4 project","ngf-tests","2026-06-04","passed","2026-06-04","Creating UG Pages","ngf.test.js","",""
"","7188","Create a tier-list page on Endfield project","ngf-tests","2026-06-04","passed","2026-06-04","Creating UG Pages","ngf.test.js","",""
"","7595","Check static data on NGF Deadlock","ngf-tests","2026-06-04","passed","2026-06-04","","ngf.test.js","",""
"","7406","Create a build page on TFT project","ngf-tests","2026-06-04","passed","2026-06-04","Creating UG Pages","ngf.test.js","",""
"","6612","Create a tier-list page on PoE project","ngf-tests","2026-06-04","passed","2026-06-04","Creating UG Pages","ngf.test.js","",""
"","5514","Check static data on NGF Marathon","ngf-tests","2026-06-04","passed","2026-06-04","","ngf.test.js","",""
"","3496","Admin role has access to the Admin ST page","ngf-tests","2026-06-04","passed","2026-06-04","Admin permission","ngf.test.js","",""
"","56164","Check x-moba-ssr-cache header & new content are present on MHW build page","others-tests","2026-06-04","passed","2026-06-04","","others.test.js","",""
"","6365","Create a guide page on Deadlock project","ngf-tests","2026-06-04","passed","2026-06-04","Creating UG Pages","ngf.test.js","",""
"","6626","Create a tier-list page on Hades 2 project","ngf-tests","2026-06-04","passed","2026-06-04","Creating UG Pages","ngf.test.js","",""
"","12595","Create a structure page on PoE project","ngf-tests","2026-06-04","passed","2026-06-04","Creating ST Pages","ngf.test.js","",""
"","9503","Admin role can delete the structure page on the ST page","ngf-tests","2026-06-04","passed","2026-06-04","Admin permission","ngf.test.js","",""
"","3834","Game Manager role can't archive, duplicate ST pages","ngf-tests","2026-06-04","passed","2026-06-04","Game Manager permission","ngf.test.js","",""
"","7667","Create a guide page on LoL project","ngf-tests","2026-06-04","passed","2026-06-04","Creating UG Pages","ngf.test.js","",""
"","10005","Create a structure page on Marvel Rivals project","ngf-tests","2026-06-04","passed","2026-06-04","Creating ST Pages","ngf.test.js","",""
"","7624","Create a build page on Diablo 4 project","ngf-tests","2026-06-04","passed","2026-06-04","Creating UG Pages","ngf.test.js","",""
"","7650","Create a build page on Overwatch project","ngf-tests","2026-06-04","passed","2026-06-04","Creating UG Pages","ngf.test.js","",""
"","5155","View mode of the ""/qa-not-delete-st-page"" structure page is available for the Admin role","ngf-tests","2026-06-04","passed","2026-06-04","Admin permission","ngf.test.js","",""
"","9985","Create a structure page on 2xko project","ngf-tests","2026-06-04","passed","2026-06-04","Creating ST Pages","ngf.test.js","",""
"","6622","Create a build page on The Bazaar project","ngf-tests","2026-06-04","passed","2026-06-04","Creating UG Pages","ngf.test.js","",""
"","5194","Check static data on NGF Riftbound","ngf-tests","2026-06-04","passed","2026-06-04","","ngf.test.js","",""
"","6904","Create a build page on ZZZ project","ngf-tests","2026-06-04","passed","2026-06-04","Creating UG Pages","ngf.test.js","",""
"","5991","Create a build page on 2XKO project","ngf-tests","2026-06-04","passed","2026-06-04","Creating UG Pages","ngf.test.js","",""
"","4140","Game Manager role can't publish ST pages","ngf-tests","2026-06-04","passed","2026-06-04","Game Manager permission","ngf.test.js","",""
"","5941","Create a guide page on Borderlands 4 project","ngf-tests","2026-06-04","passed","2026-06-04","Creating UG Pages","ngf.test.js","",""
"","6150","Create a guide page on The Bazaar project","ngf-tests","2026-06-04","passed","2026-06-04","Creating UG Pages","ngf.test.js","",""
"","6335","Create a guide page on Endfield project","ngf-tests","2026-06-04","passed","2026-06-04","Creating UG Pages","ngf.test.js","",""
"","3390","Internal Writer role has NO access to the Admin ST page","ngf-tests","2026-06-04","passed","2026-06-04","Internal Writer permission","ngf.test.js","",""
"","7400","Create a tier-list page on TFT project","ngf-tests","2026-06-04","passed","2026-06-04","Creating UG Pages","ngf.test.js","",""
"","5496","Create a tier-list page on Borderlands 4 project","ngf-tests","2026-06-04","passed","2026-06-04","Creating UG Pages","ngf.test.js","",""
"","11679","Create a structure page on PoE 2 project","ngf-tests","2026-06-04","passed","2026-06-04","Creating ST Pages","ngf.test.js","",""
"","7722","Create a build page on LoL project","ngf-tests","2026-06-04","passed","2026-06-04","Creating UG Pages","ngf.test.js","",""
