"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1703","Check that hydration is ok on News","hydration-tests","2026-09-04","passed","2026-09-04","Check hydration is successfully for each project","hydration.test.js","",""
"","213048","Check that hydration is ok on Riftbound","hydration-tests","2026-09-04","failed","2026-09-04","Check hydration is successfully for each project","hydration.test.js","",""
"","440922","Check that hydration is ok on PoE-2","hydration-tests","2026-09-04","failed","2026-09-04","Check hydration is successfully for each project","hydration.test.js","",""
"","320508","Check that hydration is ok on Hades-2","hydration-tests","2026-09-04","failed","2026-09-04","Check hydration is successfully for each project","hydration.test.js","",""
"","385840","Check that hydration is ok on Valorant","hydration-tests","2026-09-04","failed","2026-09-04","Check hydration is successfully for each project","hydration.test.js","",""
"","262718","Check that hydration is ok on Marathon","hydration-tests","2026-09-04","failed","2026-09-04","Check hydration is successfully for each project","hydration.test.js","",""
"","270650","Check that hydration is ok on 2xko","hydration-tests","2026-09-04","failed","2026-09-04","Check hydration is successfully for each project","hydration.test.js","",""
"","379845","Check that hydration is ok on PoE","hydration-tests","2026-09-04","failed","2026-09-04","Check hydration is successfully for each project","hydration.test.js","",""
"","209861","Check that hydration is ok on Borderlands-4","hydration-tests","2026-09-04","failed","2026-09-04","Check hydration is successfully for each project","hydration.test.js","",""
"","206721","Check that hydration is ok on Endfield","hydration-tests","2026-09-04","failed","2026-09-04","Check hydration is successfully for each project","hydration.test.js","",""
"","253704","Check that hydration is ok on Destiny-2","hydration-tests","2026-09-04","failed","2026-09-04","Check hydration is successfully for each project","hydration.test.js","",""
"","425238","Check that hydration is ok on Diablo-4","hydration-tests","2026-09-04","failed","2026-09-04","Check hydration is successfully for each project","hydration.test.js","",""
